


:
  TF-Se-2-2018-01-15, 30.05.2005 07:42:59
:
       Index           t          Ts          Tr       Value
                     [s]        [°C]        [°C]        [mg]
        5137        5137     35.1095     428.083     3.29593
        5148        5148     35.1213         429     3.29144
        5159        5159     35.1493     429.917     3.28642
        5170        5170     35.1668     430.833     3.28213
        5181        5181      35.155      431.75     3.27725
        5192        5192     35.1798     432.667     3.27238
        5203        5203      35.205     433.583     3.26751
        5214        5214     35.2135       434.5     3.26251
        5225        5225     35.2481     435.417       3.258
        5236        5236     35.2781     436.333     3.25304
        5247        5247     35.2913      437.25     3.24826
        5258        5258     35.3115     438.167     3.24352
        5269        5269     35.3369     439.083     3.23857
        5280        5280     35.3277         440     3.23371
        5291        5291     35.3343     440.917     3.22896
        5302        5302     35.3415     441.833     3.22362
        5313        5313     35.3578      442.75     3.21914
        5324        5324     35.3518     443.667     3.21391
        5335        5335     35.3778     444.583     3.20922
        5346        5346     35.3805       445.5     3.20428
        5357        5357     35.3902     446.417     3.19938
        5368        5368     35.3704     447.333     3.19426
        5379        5379     35.3899      448.25     3.18934
        5390        5390     35.3803     449.167     3.18455
:
  Step	-15.0446 %
   	-0.9714 mg
  Left Limit	17.53 °C
  Right Limit	29.38 °C

  Step	-24.7253 %
   	-1.5965 mg
  Left Limit	33.20 °C
  Right Limit	34.43 °C

:
  TF-Se-2-2018-01-15, 30.05.2005 07:42:59
  TF-Se-2-2018-01-15, 6.4568 mg

:
  TF-Se-2-2018-01-15, 6.4568 mg
:
  tim450-3

