Wavelength,50uM DMAP only,50uM Ebs only,25uM DMAP,50uM DMAP,75uM DMAP,100uM DMAP,200uM DMAP,300uM DMAP,400uM DMAP,500uM DMAP,600uM DMAP
254.25,0.5822,0.4089,0.6835,0.9836,1.2239,1.4228,1.5583,1.5789,1.6019,1.5939,1.5955
254.64,0.5943,0.4103,0.6912,0.9963,1.2411,1.4379,1.5693,1.5894,1.6167,1.6015,1.6081
255.03,0.6059,0.4121,0.6992,1.0091,1.2559,1.4525,1.5808,1.5962,1.6212,1.6092,1.6187
255.42,0.6172,0.4144,0.7072,1.0231,1.2703,1.4678,1.5928,1.6095,1.6299,1.6226,1.6269
255.82,0.6277,0.4176,0.7155,1.0354,1.2854,1.4799,1.6023,1.6177,1.6392,1.6333,1.6367
256.21,0.6374,0.4203,0.7245,1.0473,1.3009,1.4937,1.6121,1.6257,1.6491,1.6421,1.6445
256.6,0.6457,0.4236,0.7329,1.0577,1.3138,1.5069,1.6255,1.6324,1.6576,1.6486,1.6524
256.99,0.6545,0.4275,0.7415,1.0703,1.3287,1.5177,1.636,1.6448,1.6674,1.6614,1.6635
257.38,0.6627,0.4311,0.7495,1.081,1.3401,1.5295,1.6424,1.6571,1.675,1.6679,1.6727
257.77,0.6693,0.4352,0.7577,1.0886,1.3484,1.5367,1.647,1.6637,1.6782,1.6747,1.6758
258.16,0.6745,0.4395,0.765,1.0965,1.3559,1.5435,1.6535,1.6652,1.681,1.6798,1.6817
258.55,0.6782,0.444,0.7721,1.1032,1.3631,1.5483,1.6598,1.6699,1.6838,1.6801,1.6825
258.94,0.6824,0.4493,0.7792,1.1122,1.3692,1.5547,1.6638,1.6731,1.683,1.6852,1.684
259.33,0.6856,0.4545,0.7859,1.1189,1.3755,1.558,1.6706,1.6801,1.6875,1.6925,1.6869
259.72,0.6872,0.4595,0.7916,1.1241,1.3824,1.5614,1.6726,1.6874,1.69,1.6941,1.6939
260.11,0.6874,0.4638,0.7978,1.1284,1.3858,1.5683,1.6788,1.6935,1.6953,1.6988,1.6973
260.5,0.6859,0.469,0.8018,1.1327,1.3848,1.567,1.6792,1.6967,1.6965,1.6978,1.7002
260.9,0.6839,0.4745,0.8059,1.1365,1.3864,1.5678,1.6808,1.6972,1.6994,1.6981,1.7035
261.29,0.6789,0.4794,0.8092,1.1359,1.3825,1.5645,1.6767,1.6913,1.6965,1.6945,1.7
261.68,0.6734,0.4841,0.8113,1.1346,1.3799,1.5628,1.6793,1.6925,1.6997,1.6983,1.7015
262.07,0.6662,0.4889,0.813,1.133,1.3778,1.5583,1.6815,1.692,1.7022,1.6975,1.7052
262.46,0.658,0.4934,0.814,1.1301,1.3736,1.5535,1.6792,1.6938,1.7062,1.6989,1.7038
262.85,0.6487,0.4976,0.8134,1.1262,1.3683,1.5485,1.6739,1.6934,1.707,1.7008,1.7054
263.24,0.6374,0.5011,0.8128,1.1192,1.3603,1.5417,1.6734,1.6942,1.7088,1.7046,1.7075
263.63,0.6252,0.5044,0.8112,1.1122,1.3518,1.5343,1.6697,1.6931,1.7089,1.7054,1.7083
264.02,0.6123,0.5075,0.8091,1.1047,1.3427,1.5243,1.6676,1.6924,1.7115,1.7121,1.708
264.41,0.5981,0.5106,0.8047,1.0953,1.3321,1.5078,1.6582,1.6865,1.7115,1.7072,1.7069
264.8,0.5841,0.5132,0.8009,1.0846,1.3228,1.4971,1.6534,1.6817,1.7115,1.7103,1.711
265.19,0.5689,0.5147,0.796,1.0732,1.3097,1.4854,1.6479,1.6836,1.7153,1.7168,1.7142
265.58,0.5538,0.5162,0.7906,1.0609,1.2956,1.4717,1.6403,1.6819,1.7135,1.7171,1.7134
265.97,0.5383,0.5168,0.7853,1.0489,1.282,1.4554,1.6311,1.6759,1.7147,1.7165,1.7165
266.36,0.5231,0.5167,0.7796,1.0358,1.2657,1.4381,1.619,1.6698,1.7109,1.7166,1.716
266.75,0.508,0.5169,0.7734,1.0229,1.2503,1.421,1.6095,1.6639,1.7103,1.7181,1.7173
267.14,0.4926,0.5166,0.7663,1.0093,1.2332,1.4028,1.5979,1.6583,1.7091,1.7184,1.7186
267.53,0.4775,0.5161,0.7587,0.9955,1.2163,1.381,1.5843,1.6494,1.7046,1.7163,1.7188
267.93,0.4629,0.5143,0.7511,0.9823,1.1988,1.3622,1.5705,1.64,1.6998,1.7148,1.7183
268.32,0.4479,0.512,0.7433,0.9666,1.1797,1.3417,1.553,1.6281,1.695,1.705,1.7153
268.71,0.4342,0.5097,0.7355,0.9522,1.1616,1.3217,1.5373,1.6186,1.6891,1.7031,1.7135
269.1,0.4207,0.5069,0.7278,0.9383,1.1448,1.2992,1.5224,1.6107,1.6867,1.7033,1.7108
269.49,0.4077,0.5039,0.7191,0.924,1.1273,1.2769,1.5022,1.5944,1.6781,1.6981,1.7067
269.88,0.3956,0.5005,0.7105,0.9103,1.1107,1.255,1.4857,1.5809,1.6738,1.6957,1.7039
270.27,0.3838,0.4973,0.7009,0.8962,1.0942,1.2347,1.4664,1.5699,1.6664,1.6931,1.6977
270.66,0.3726,0.4936,0.6912,0.8828,1.0786,1.2157,1.4477,1.5558,1.6614,1.688,1.6969
271.05,0.3611,0.4885,0.6814,0.8689,1.0623,1.1949,1.4278,1.5397,1.6522,1.682,1.6939
271.44,0.3507,0.4831,0.6726,0.8546,1.0456,1.1717,1.4087,1.5189,1.6416,1.6718,1.6888
271.83,0.3409,0.4773,0.6627,0.8403,1.0297,1.1535,1.3891,1.504,1.6355,1.6645,1.6853
272.22,0.3318,0.4716,0.6531,0.8254,1.0138,1.1337,1.3677,1.4878,1.6282,1.6546,1.6808
272.61,0.3233,0.4662,0.6436,0.8121,0.9977,1.1127,1.347,1.4664,1.6163,1.6482,1.6736
273,0.3153,0.4601,0.6344,0.7991,0.9824,1.0952,1.3289,1.4477,1.6072,1.6409,1.6682
273.39,0.3073,0.4535,0.624,0.7856,0.9667,1.0777,1.3106,1.4296,1.5957,1.634,1.6613
273.78,0.2997,0.447,0.6141,0.7717,0.9508,1.0576,1.2905,1.4111,1.5839,1.622,1.6535
274.17,0.2923,0.44,0.6046,0.7586,0.9367,1.0407,1.2719,1.3957,1.5743,1.615,1.6503
274.56,0.2856,0.433,0.5951,0.746,0.9212,1.0216,1.2534,1.3748,1.5626,1.6055,1.6415
274.95,0.2791,0.4262,0.5858,0.7338,0.9071,1.004,1.2358,1.3566,1.5525,1.6001,1.6305
275.34,0.2728,0.4195,0.5762,0.7208,0.892,0.9859,1.2188,1.3374,1.5376,1.5889,1.6201
275.73,0.2672,0.413,0.5667,0.7094,0.8783,0.9691,1.2014,1.322,1.5272,1.5817,1.6093
276.12,0.2614,0.4065,0.5576,0.697,0.8652,0.9522,1.1823,1.302,1.5153,1.5689,1.5957
276.51,0.2558,0.4001,0.5485,0.6853,0.8523,0.9345,1.167,1.2839,1.5018,1.5591,1.5862
276.9,0.2504,0.3929,0.5387,0.6729,0.8388,0.9191,1.1504,1.2665,1.4915,1.5481,1.5758
277.29,0.2453,0.386,0.5288,0.6611,0.8255,0.9029,1.1328,1.2492,1.4796,1.5367,1.5681
